branch,snapshot_section,batch,owner_role,status,snapshot_proposal,current_resolution,selected_target,next_action,proof_pr_commit
renovate/typescript-5.x,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency typescript to ~5.9.3,5.9.3 (docs),5.9.3 (docs),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/valibot-1.x,Rate-Limited,2,implementation agent,verified,chore(deps): update dependency valibot to v1.5.0,1.5.0 (root and both standalone verifiers),1.5.0 (root and both standalone verifiers),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/vite-plugin-node-polyfills-0.x,Rate-Limited,4,implementation agent,verified,chore(deps): update dependency vite-plugin-node-polyfills to ^0.28.0,0.28.0 with wrapper and native test globals,0.28.0 with wrapper and native test globals,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/webpack-5.x,Rate-Limited,3,implementation agent,verified,chore(deps): update dependency webpack to v5.110.3,5.110.3,5.110.3,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/go-1.x,Rate-Limited,1,implementation agent + infrastructure operator,verified,chore(deps): update go toolchain directive to v1.27.1,1.27.1; x/crypto0.56.0; published verified runner,1.27.1; x/crypto0.56.0; published verified runner,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/node-20.x,Rate-Limited,3,implementation agent,verified,chore(deps): update node.js to >=20.20.2,docs engine >=24 <25 aligns tested root support policy,docs engine >=24 <25 aligns tested root support policy,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/keystonehq-bc-ur-registry-0.x,Rate-Limited,5,implementation agent,verified,fix(deps): update dependency @keystonehq/bc-ur-registry to ^0.8.0,0.8.0,0.8.0,78 UR compatibility assertions passed on combined graph; final CI,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/mermaid-js-layout-elk-0.x,Rate-Limited,3,implementation agent,blocked,fix(deps): update dependency @mermaid-js/layout-elk to v0.2.3,0.1.9,0.2.3,Docusaurus3.10.2 optional peer requires ^0.1.9; wait compatible theme peer graph,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/parse-node-apn-8.x,Rate-Limited,2,implementation agent,no-op,fix(deps): update dependency @parse/node-apn to ^8.1.0,8.1.0 already resolved; floor aligned,8.1.0 already resolved; floor aligned,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/github.com-btcsuite-btcd-0.x,Rate-Limited,1,implementation agent + infrastructure operator,blocked,fix(deps): update module github.com/btcsuite/btcd to v0.26.2,0.25.0,0.26.2,Requires /v2 package migration with btcutil/v2; current btcutil1.2 imports removed paths,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/github.com-btcsuite-btcd-btcec-v2-2.x,Rate-Limited,1,implementation agent + infrastructure operator,verified,fix(deps): update module github.com/btcsuite/btcd/btcec/v2 to v2.5.0,2.5.0,2.5.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/github.com-btcsuite-btcd-btcutil-1.x,Rate-Limited,1,implementation agent + infrastructure operator,verified,fix(deps): update module github.com/btcsuite/btcd/btcutil to v1.2.0,1.2.0,1.2.0,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/prisma-monorepo,Rate-Limited,6,implementation agent,verified,"fix(deps): update prisma monorepo to ^7.10.0 (`@prisma/adapter-pg`, `@prisma/client`)",7.10.0 (CLI/client/adapter coordinated),7.10.0 (CLI/client/adapter coordinated),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/bitcoin-bitcoin-31.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update bitcoin/bitcoin docker tag to v31,Existing supported major retained,chore(deps): update bitcoin/bitcoin docker tag to v31,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/hono-node-server-2.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency @hono/node-server to v2,Existing supported major retained,chore(deps): update dependency @hono/node-server to v2,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-testing-library-monorepo,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency @testing-library/jest-dom to v7,Existing supported major retained,chore(deps): update dependency @testing-library/jest-dom to v7,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/dependency-cruiser-18.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency dependency-cruiser to v18,Existing supported major retained,chore(deps): update dependency dependency-cruiser to v18,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-hapijs-monorepo,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency joi to v18,Existing supported major retained,chore(deps): update dependency joi to v18,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/js-yaml-5.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency js-yaml to v5,Existing supported major retained,chore(deps): update dependency js-yaml to v5,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/jsdom-30.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency jsdom to v30,Existing supported major retained,chore(deps): update dependency jsdom to v30,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/nanoid-6.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency nanoid to v6,Existing supported major retained,chore(deps): update dependency nanoid to v6,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/node-linux-x64-26.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency node-linux-x64 to v26,Existing supported major retained,chore(deps): update dependency node-linux-x64 to v26,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/protobufjs-8.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency protobufjs to v8,Existing supported major retained,chore(deps): update dependency protobufjs to v8,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/svgo-4.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency svgo to v4,Existing supported major retained,chore(deps): update dependency svgo to v4,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/toml-5.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency toml to v5,Existing supported major retained,chore(deps): update dependency toml to v5,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/typescript-7.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency typescript to v7,Existing supported major retained,chore(deps): update dependency typescript to v7,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/undici-8.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency undici to v8,Existing supported major retained,chore(deps): update dependency undici to v8,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/node-24.x,Rate-Limited,7,implementation agent + infrastructure operator,verified,"chore(deps): update node.js to v24.21.0 (`node`, `@types/node`)",Node24.21.0; @types/node24.12.2 retained (24.21.0 types does not exist),Node24.21.0; @types/node24.12.2 retained (24.21.0 types does not exist),Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/npm-12.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update npm to v12,Existing supported major retained,chore(deps): update npm to v12,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-stryker-js-monorepo,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,"chore(deps): update stryker-js monorepo to v10 (`@stryker-mutator/core`, `@stryker-mutator/typescript-checker`, `@stryker-mutator/vitest-runner`)",Existing supported major retained,"chore(deps): update stryker-js monorepo to v10 (`@stryker-mutator/core`, `@stryker-mutator/typescript-checker`, `@stryker-mutator/vitest-runner`)",Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-vitest-monorepo,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,"chore(deps): update vitest monorepo to v5 (`@vitest/coverage-v8`, `vitest`)",Existing supported major retained,"chore(deps): update vitest monorepo to v5 (`@vitest/coverage-v8`, `vitest`)",Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/bitcoinerlab-secp256k1-2.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency @bitcoinerlab/secp256k1 to v2,Existing supported major retained,fix(deps): update dependency @bitcoinerlab/secp256k1 to v2,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/mermaid-js-layout-elk-1.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency @mermaid-js/layout-elk to v1,Existing supported major retained,fix(deps): update dependency @mermaid-js/layout-elk to v1,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/bullmq-6.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency bullmq to v6,Existing supported major retained,fix(deps): update dependency bullmq to v6,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/cookie-2.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency cookie to v2,Existing supported major retained,fix(deps): update dependency cookie to v2,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/http-proxy-middleware-4.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency http-proxy-middleware to v4,Existing supported major retained,fix(deps): update dependency http-proxy-middleware to v4,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/ioredis-6.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency ioredis to v6,Existing supported major retained,fix(deps): update dependency ioredis to v6,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/nodemailer-10.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency nodemailer to v10,Existing supported major retained,fix(deps): update dependency nodemailer to v10,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/github.com-btcsuite-btcd-btcutil-2.x,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update module github.com/btcsuite/btcd/btcutil to v2,Existing supported major retained,fix(deps): update module github.com/btcsuite/btcd/btcutil to v2,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-react-monorepo,Rate-Limited,9,Subsystem maintainer / implementation agent,blocked,"fix(deps): update react monorepo to v19 (`@types/react`, `react`, `react-dom`)",Existing supported major retained,"fix(deps): update react monorepo to v19 (`@types/react`, `react`, `react-dom`)",Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/lock-file-maintenance,Rate-Limited,final,implementation agent,verified,chore(deps): lock file maintenance,Final npm-generated targeted lock graphs; strict installs and peer/audit policies pass,Compatible maintenance graph,No broad dependency churn; final required CI and live bot reconciliation,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/debian-bookworm-slim,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update debian:bookworm-slim docker digest to 3783cc0,current reviewed immutable digest,snapshot candidate digest,Published Sep18–19; cooldown; exact digest/time in runtime-maintenance report; require image and retained-data checks,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/ghcr.io-catthehacker-ubuntu-act-22.04,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update ghcr.io/catthehacker/ubuntu:act-22.04 docker digest to f5f5c29,current pinned runner digest,f5f5c29208c4fd541704fe7b8df33d3bf620ce4ac46f36853b7abeb0159705c4,OCI built Aug15; authenticated publication timestamp unavailable; require age evidence and runner canary,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/ghcr.io-ledgerhq-ledger-app-builder-ledger-app-builder-lite,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update ghcr.io/ledgerhq/ledger-app-builder/ledger-app-builder-lite docker digest to 85e029e,current proof-pinned digest,85e029ee342feabeb99d34f4c450d7b60336497b5804c11953b9a8736d9b9f29,OCI created Sep18T16:20Z; cannot satisfy three-day age; then rebuild and verify app ELFs,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/ghcr.io-ledgerhq-speculos,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update ghcr.io/ledgerhq/speculos docker digest to 6ed9eef,current proof-pinned digest,6ed9eefd51cddd862b746719af4cd7a3265fe43d0588c388359753cab8d46d11,OCI built Sep1; authenticated publication timestamp unavailable; require age evidence and emulator proof,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/nginx-alpine,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update nginx:alpine docker digest to 62ff208,current reviewed immutable digest,snapshot candidate digest,Published Sep18–19; cooldown; exact digest/time in runtime-maintenance report; require image and retained-data checks,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/node-24-alpine,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update node.js to ebfe2f9,current reviewed immutable digest,snapshot candidate digest,Published Sep18–19; cooldown; exact digest/time in runtime-maintenance report; require image and retained-data checks,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/postgres-16-alpine,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update postgres:16-alpine docker digest to 3c5c889,current reviewed immutable digest,snapshot candidate digest,Published Sep18–19; cooldown; exact digest/time in runtime-maintenance report; require image and retained-data checks,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/redis-7-alpine,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update redis:7-alpine docker digest to 520775a,current reviewed immutable digest,snapshot candidate digest,Published Sep18–19; cooldown; exact digest/time in runtime-maintenance report; require image and retained-data checks,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/grpc-grpc-js-1.x,Pending Status Checks,2,implementation agent,blocked,chore(deps): update dependency @grpc/grpc-js to v1.14.5,1.14.4,1.14.5,Published Sep17T19:47Z; recheck after three-day age and audit,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/hono-4.x,Pending Status Checks,2,implementation agent,verified,chore(deps): update dependency hono to v4.13.8,4.13.8,4.13.8,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/eslint-monorepo,Pending Status Checks,2,implementation agent,blocked,chore(deps): update dependency eslint to ^10.11.0,10.10.0,10.11.0,Published Sep18T20:15Z; recheck after three-day age and lint,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/python-3.x,Pending Status Checks,7,implementation agent + infrastructure operator,blocked,chore(deps): update python docker tag to v3.14.7,current pinned verifier image,3.14.7,Digest82bc3c...ff56 published Sep19T08:11Z; cooldown then wheel/corpus proofs,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/ubuntu-26.x,Pending Status Checks,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update dependency ubuntu to v26,Existing supported major retained,chore(deps): update dependency ubuntu to v26,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/major-grafana-monorepo,Pending Status Checks,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update grafana/grafana docker tag to v13,Existing supported major retained,chore(deps): update grafana/grafana docker tag to v13,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/postgres-18.x,Pending Status Checks,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update postgres docker tag to v18,Existing supported major retained,chore(deps): update postgres docker tag to v18,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/redis-8.x,Pending Status Checks,9,Subsystem maintainer / implementation agent,blocked,chore(deps): update redis docker tag to v8,Existing supported major retained,chore(deps): update redis docker tag to v8,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/dotenv-18.x,Pending Status Checks,9,Subsystem maintainer / implementation agent,blocked,fix(deps): update dependency dotenv to v18,Existing supported major retained,fix(deps): update dependency dotenv to v18,Separate migration after maintenance: apply batch9 API/peer/retained-data and rollback acceptance criteria in reviewed plan; not counted as remediated,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/supertest-7.x,Open,0,implementation agent,no-op,[chore(deps): update dependency @types/supertest to ^7.2.1](pulls/1244),@types/supertest7.2.1 already merged #1244,@types/supertest7.2.1 already merged #1244,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/cors-2.x,PR Closed (Blocked),0,implementation agent,no-op,[chore(deps): update dependency @types/cors to ^2.8.19](pulls/828),@types/cors2.8.19 already resolved; floor aligned,@types/cors2.8.19 already resolved; floor aligned,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/nodemailer-8.x,PR Closed (Blocked),0,implementation agent,no-op,[chore(deps): update dependency @types/nodemailer to ^8.0.1](pulls/919),@types/nodemailer8.0.1 already resolved; floor aligned,@types/nodemailer8.0.1 already resolved; floor aligned,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
renovate/w3c-web-hid-1.x,PR Closed (Blocked),0,implementation agent,no-op,[chore(deps): update dependency @types/w3c-web-hid to ^1.0.7](pulls/944),@types/w3c-web-hid1.0.7 already resolved; floor aligned,@types/w3c-web-hid1.0.7 already resolved; floor aligned,Final combined CI and merge; reconcile live Renovate queue,PR #1247; dependency-closeout-execution-2026-09-19.md
